Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69428fef63725ce94561cc1b,65c7bfe1f18e2110daddde16,APPROVED,Not Applicable,2025-12-17T11:11:47.835000Z,2025-12-17T11:46:16.670000Z,2025-12-17T11:46:22.746000Z,2025-12-17T11:46:17.557901Z,2069.0,C21HCJSF,2013,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69428ff1efa421d27837871f,66c20b634a3b292d25596fbc,APPROVED,Not Applicable,2025-12-17T11:11:51.455000Z,2025-12-17T11:32:04.851000Z,2025-12-17T11:32:06.948000Z,2025-12-17T11:32:05.616763Z,1214.0,C21HCJSF,2714,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69428ffac59c61214276e838,660ea65b18972d0e6a14a896,APPROVED,Not Applicable,2025-12-17T11:12:02.463000Z,2025-12-17T11:47:39.162000Z,2025-12-17T11:47:41.473000Z,2025-12-17T11:47:39.958650Z,2137.0,C21HCJSF,1596,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
69428ffec55595ee3d1dadff,5987030cfd8cca00015cbc26,TIMED-OUT,Not Applicable,2025-12-17T11:11:58.389000Z,,,2025-12-17T12:17:45.156919Z,3947.0,,6569,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
69429006af0751a252999a90,65313bdcb9fd825a8c1d4981,APPROVED,Not Applicable,2025-12-17T11:12:06.993000Z,2025-12-17T11:32:34.745000Z,2025-12-17T11:32:38.417000Z,2025-12-17T11:32:36.584339Z,1228.0,C21HCJSF,2552,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
69429009cd6b2504a43398b1,5cf8e0107d0e5c00166bc2db,RETURNED,Not Applicable,2025-12-17T11:12:16.909000Z,,,2025-12-17T12:17:45.160599Z,,,859,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69429011e5e9fc53c6d7ddda,5d4b085ef76ba3001c7510de,APPROVED,Not Applicable,2025-12-17T11:12:27.383000Z,2025-12-17T11:46:37.608000Z,2025-12-17T11:46:39.722000Z,2025-12-17T11:46:38.317765Z,2051.0,C21HCJSF,1870,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
694290125e7d06d8dfb1ed0a,5ace82e135eccf0001a11c96,APPROVED,Not Applicable,2025-12-17T11:13:16.497000Z,2025-12-17T11:42:26.584000Z,2025-12-17T11:42:30.285000Z,2025-12-17T11:42:28.024840Z,1751.0,C21HCJSF,3658,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
694290142acb60331b8f47e8,6744d143eddffd17d345b192,RETURNED,Not Applicable,2025-12-17T11:12:22.930000Z,,,2025-12-17T12:17:45.161598Z,,,2872,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
69429014903f99bfdc35ee40,661e5d8f5d79d99564543f26,APPROVED,Not Applicable,2025-12-17T11:12:25.450000Z,2025-12-17T11:37:11.530000Z,2025-12-17T11:37:12.345000Z,2025-12-17T11:37:12.217181Z,1487.0,C21HCJSF,1586,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
