ID,meta.userAgent,meta.platform,meta.language,meta.locale,meta.timeZone,meta.timezoneOffset,meta.screen_width,meta.screen_height,meta.scroll_width,meta.scroll_height,meta.window_innerWidth,meta.window_innerHeight,meta.devicePixelRatio,PROLIFIC_PID,framingCondition,sociodemo_gender,sociodemo_priorExperience,sociodemo_residency,sociodemo_education,feedback_critic,attCheck_text,sociodemo_universityAffiliation,sociodemo_universityField,reflection_ecological,reflection_social,reflection_economic,EcologicalDimension-1,EcologicalDimension-3,EcologicalDimension-4,EcologicalDimension-2,Bioinspiration-VRtN1,Bioinspiration-PN4,Bioinspiration-VRtN4r,Bioinspiration-IPI1,Bioinspiration-PN2r,Bioinspiration-VRtN2,Bioinspiration-IPI2r,Bioinspiration-PN3,Bioinspiration-IPI3,Bioinspiration-IPI4,Bioinspiration-VRtN3,Bioinspiration-PN1,evalInf-6,evalInf-5,evalInf-8,evalInf-2,evalInf-3,evalInf-4,evalInf-10,evalInf-7,evalInf-1,evalInf-9,GAToRS-4pp,GAToRS-3sp,GAToRS-4pn,GAToRS-5pp,GAToRS-1pp,GAToRS-3pp,GAToRS-4sp,GAToRS-2pn,GAToRS-2sp,GAToRS-1sn,GAToRS-3pn,GAToRS-5pn,GAToRS-1pn,GAToRS-4sn,GAToRS-5sn,GAToRS-5sp,GAToRS-2pp,GAToRS-1sp,GAToRS-3sn,GAToRS-2sn,dummy_informedconsent,commCheck,feedback_conscientiousCompletion,sociodemo_age,whichItemsFirst,socio_age,socio_sex,socio_ethnicity,socio_student,socio_employment,total_min_prolific
2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1920,1080,1920,499,1920,911,1,5c60501d767686000100150c,bio-inspired,female,no,GB,level_1,I didn't  really understand what the soft robot was made for so my suggestions arent very good.,i read the instructions,no,,due to its soft form its more eco friendly,again due to its soft form its very sutainable so it fits in well,the 3d technology makes it very economically sustainable,6,6,6,7,5,6,3,3,5,3,6,2,6,2,2,2,2,2,4,4,2,3,2,1,3,1,1,5,7,1,3,3,7,6,5,6,5,5,7,6,5,4,3,5,5,7,1,1,1,58,sustainable,57,Female,White,DATA_EXPIRED,DATA_EXPIRED,21.6
3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1920,1080,1920,499,1920,911,1,54f4e2d1fdf99b4e913fdf01,tech-inspired,female,no,GB,bachelors,,I read the instructions,no,,"The design of the Soft Robot Walker means that it can fit seamlessly into natural environments. Therefore, it could be placed into environments that a typical robot wouldn't work well in. It could be used to monitor the natural world, different environments, animals, etc, without causing any damage to the environment.","The Soft Robot Walker can be used in many different situations, and is very adaptable, more so than a traditional robot. Therefore, it could be use in areas of social justice, health, education, etc, in order to build a more cohesive society. ","The Soft Robot Walker can be made using a 3D printer, at home. Therefore, it is easier and cheaper to make because it requires less expensive and advanced machinery. ",6,7,6,6,4,3,6,6,3,5,6,5,6,7,6,4,4,4,4,5,4,3,3,3,4,3,4,4,3,5,4,3,7,5,5,2,3,3,3,5,4,4,4,7,3,4,1,1,1,38,sustainable,38,Female,White,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",22.866666666666667
4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-US,en-US,Europe/London,0,1920,1080,1920,499,1920,953,1,5bb7b83ab791890001f4fd90,bio-inspired,male,no,GB,level_3,None.,I read the instructions,no,,"The Soft Robot Walker is constructed from relatively inexpensive materials, and due to its structure, should last a long time, requiring little maintenance, and infrequent replacement. It is not likely to be superceded by new models every 2-3 years, such as other forms of modern technology, such as smartphones, so in theory a robot could be functioning properly for a lengthy period. It also is a low energy using technology, completly unlike most other devices of its type. All of these factors make it ideal for a world in which climate sustainabily will be key going forward.","The construction of the robots will necessitate workers, which generate income, which is a desirable social outcome. The ability to produce robots via the use of home-based technology, such as 3D-printers, enables individuals to download schematics, which they can they build themselves, for a variety of purposes, also. To a degree this democratizes the process, allowing access to the robots, something which is not possible to any great degree with traditional robots.","The Soft Robot Walker could potentially open up new areas of development, which are so far untapped, and for which traditional robots may be unsuitable, or too expensive. This could create new industries, supplying employment opportunities. The basic system, as outlined here with this prototype, could be expanded upon and developed considerably, producing further sustainable economic growth.",7,7,5,7,5,5,7,7,5,4,7,3,7,7,6,3,6,6,6,6,6,6,6,6,6,6,7,6,1,7,7,7,5,1,6,1,1,1,1,5,5,7,7,5,1,3,1,1,1,57,sustainable,57,Male,White,No,Part-Time,65.76666666666667
5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1280,720,1280,499,1280,585,1.5,5db143c6711b3c00180fdea1,tech-inspired,female,not_sure,GB,masters,,I read the instructions,no,,It's softness feels like it's centra to preservation of our ecosystems. It's not using mechanical resources but rather softer materials. ,I'm not entirely sure of how this would be used but it doesn't use electricity so it was mentioned that it's usage could be for disarming etc so it could be used in bomb or mine situations.,"The walker uses pressurised air so it's created with efficient resource use in mind, supporting long term resilience. ",6,6,5,6,1,2,2,6,5,5,5,2,6,4,5,1,4,4,2,5,3,2,1,3,1,6,4,5,4,2,3,3,7,5,6,5,5,3,7,7,6,5,2,7,6,4,1,1,1,46,bioinspired,46,Female,Mixed,No,Full-Time,21.05
6,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1536,864,1536,499,1536,730,1.25,577a3dfd92c50c0001c9488f,tech-inspired,male,no,GB,level_2,N/A,I read the instructions,no,,"I'm not sure it achieves this as its very existence requires the use and drain of resources, albeit that they may be less that ""hard robots"".","I don't see any correlation here, to me it's simply another tool to be used. complementing what we / humans already do.",It potentially uses less energy as it is powered by compressed air. It potentially uses less overall energy and materials as less complex engineering is required.,2,6,6,6,2,3,7,7,7,7,7,1,7,7,6,2,5,5,5,6,5,5,5,3,5,6,6,6,2,6,5,5,6,5,6,6,2,5,2,7,4,6,5,7,5,6,1,1,1,62,bioinspired,62,Male,White,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",21.283333333333335
7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1280,720,1280,499,1280,632,1.5,66c20b634a3b292d25596fbc,bio-inspired,male,yes_some,GB,level_2,,I read the instructions,no,,"It is a robot designed by humans so it will do whatever it is tasked to do, whatever the intention is by the human controller that is what it will do, i doubt it will have any affect on it's own",I cannot see how it relates to this so cannot add anything,It  last longer and can be recycled,3,5,5,5,1,2,3,5,3,3,4,1,4,4,5,2,4,4,4,5,5,3,4,2,5,4,5,4,3,1,4,2,7,4,5,1,3,4,4,5,4,4,4,4,3,4,1,1,1,52,sustainable,52,Male,White,No,Full-Time,20.233333333333334
9,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",MacIntel,en-GB,en-GB,Europe/London,0,1710,1107,1664,499,1664,977,2,65313bdcb9fd825a8c1d4981,tech-inspired,female,no,GB,level_2,,I read the instructions,no,,The robot could collect waste therefore protecting the environment.,"The robots could help with bomb disposal, which would mean that police officers would not be put at as much risk",No idea on this one.,3,4,3,2,3,3,7,5,5,6,4,2,5,5,5,3,4,4,4,4,1,2,2,2,2,2,3,6,3,2,4,2,6,6,6,7,4,5,3,6,4,4,3,5,6,6,1,1,1,45,bioinspired,45,Female,White,No,Part-Time,20.466666666666665
10,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15",MacIntel,en-GB,en-GB,Europe/London,0,1280,800,1280,497,1280,601,1,660ea65b18972d0e6a14a896,bio-inspired,female,no,GB,level_1,,I read the instructions,no,,"Despite the robot running on air, I think that the fact that it uses polymers and needs electricity in order to be 3D printed, not to mention the manufacturing of air cartridges, may make it less ecologically friendly as first thought.  ","I think the fact that the finished product doesn't require electricity to run, might make this a helpful product where there may be limited access to electricity - whether that's to do with countries that have limited access in general, or due to other factors such as war or natural disasters. ","The fact that it doesn't use electricity makes it appear ecologically sustainable, but I worry that the processes that will be needed to create the parts, hoses or air cartridges may reverse that somewhat. I wonder if not using electricity would mitigate these things in the long run.  ",4,7,4,5,1,5,7,7,3,7,7,1,7,6,7,3,6,6,6,6,6,6,6,6,6,6,6,5,1,4,5,6,7,2,6,2,1,2,2,5,2,5,6,6,3,6,1,1,1,59,bioinspired,59,Female,White,No,Part-Time,35.61666666666667
12,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,1280,720,1280,499,1280,585,1.5,5e3ddcf95556b204cb143eab,bio-inspired,female,no,GB,masters,,I read instructions,no,,"also this robot can be used in a nature to mimic some small animals and probably help with the nature cycle, maybe it might help other animals to behave certain way etc","i dont know, potentialy this robot can be able to contribute more to the education as it is more flexible and more transformative, so you can use it however you want","i guess the production of the soft robot my contribtue to positive ecological aspects, like using recycable materials. ",5,5,5,4,6,6,3,6,5,5,2,5,5,5,5,6,4,5,4,5,4,4,4,5,5,4,5,4,2,4,4,4,2,4,5,5,4,3,3,6,6,5,5,6,3,4,1,1,1,31,bioinspired,31,Female,White,No,Part-Time,20.3
13,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36",Win32,en-GB,en-GB,Europe/London,0,2560,1440,2007,499,2007,1006,1.25,5d4b085ef76ba3001c7510de,bio-inspired,male,no,GB,level_3,,I read the instructions,no,,"The waste from traditional robots at the end of life stage will most likely end up in some kind of landfill, whereas it's possible that the components of a soft robot can be biodegradable. There is no use of a battery either, so there is a much less impact on the planet from both the creation and disposal of batteries. ","They may relate to social sustainability because they are a lot safer than traditional robots, which can often be secured inside a cage to prevent injuries. I imagine a soft robot would also be a bit less intimidating to work around, which is a psychological benefit. They could improve the quality of life of people in healthcare. Because the costs of soft robots is much lower it makes the opportunity a lot more widely available to people who could not normally take advantage of the technology. These robots could also be fantastic in disaster response type scenarios. ","Traditional robots require a lot of up front and maintenance costs and specialised manufacturing plants. The barrier to entry for the soft robot is much lower, you can start with an affordable 3D printer. The running costs of these robots is much lower as they can run off energy efficient sources like compressed air. Because the components of these robots are soft, the maintenance is lower as parts will break less often.",4,7,4,7,1,3,7,7,7,5,7,1,7,7,2,3,6,5,6,6,5,6,5,6,5,5,3,7,3,4,5,6,7,5,7,7,1,6,2,6,5,7,5,7,7,5,1,1,1,36,bioinspired,36,Male,White,No,Unemployed (and job seeking),34.18333333333333
